Title,Year,Directors,WatchedDate,Rating,Rating10
No Country for Old Men,2007,"Joel Coen, Ethan Coen",2018-09-27,3.5,7
The Breadwinner,2017,Nora Twomey,2018-09-23,3.5,7
Thor: Ragnarok,2017,Taika Waititi,2018-09-10,3.5,7
Jurassic World,2015,Colin Trevorrow,2018-09-10,3.0,6
Perfect Strangers,2017,Álex de la Iglesia,2018-07-30,3.5,7
The Girl Who Leapt Through Time,2006,Mamoru Hosoda,2018-07-29,3.5,7
The Cloverfield Paradox,2018,Julius Onah,2018-07-28,2.0,4
10 Cloverfield Lane,2016,Dan Trachtenberg,2018-07-27,3.0,6
Thor: The Dark World,2013,Alan Taylor,2018-06-30,3.5,7
Rebecca,1940,Alfred Hitchcock,2018-06-16,3.5,7
Cloverfield,2008,Matt Reeves,2018-06-15,2.5,5
The Great American Chase (The Bugs Bunny/Road-Runner Movie),1979,"Chuck Jones, Phil Monroe",2018-06-02,3.5,7
John Wick: Chapter Two,2017,Chad Stahelski,2018-05-31,3.0,6
Bright,2017,David Ayer,2018-05-26,3.0,6
Deadpool 2,2018,David Leitch,2018-05-26,3.5,7
Predestination,2014,"Michael Spierig, Peter Spierig",2018-05-19,3.5,7
The Physician,2013,Philipp Stölzl,2018-05-19,4.0,8
Argo,2012,Ben Affleck,2018-04-30,3.5,7
Avengers: Infinity War,2018,"Anthony Russo, Joe Russo",2018-04-28,3.5,7
Valerian and the City of a Thousand Planets,2017,Luc Besson,2018-04-01,3.5,7
The Blues Brothers,1980,John Landis,2018-03-30,4.0,8
The Killing of a Sacred Deer,2017,Yorgos Lanthimos,2018-03-29,3.0,6
Ready Player One,2018,Steven Spielberg,2018-03-29,3.5,7
Okja,2017,Bong Joon-ho,2018-03-24,4.0,8
Hellraiser,1987,Clive Barker,2018-03-16,3.5,7
Chasing Trane: The John Coltrane Documentary,2016,John Scheinfeld,2018-03-10,4.0,8
Apocalypto,2006,Mel Gibson,2018-02-24,3.5,7
Black Panther,2018,Ryan Coogler,2018-02-17,3.0,6
The Shape of Water,2017,Guillermo del Toro,2018-02-17,3.5,7
Your Name,2016,Makoto Shinkai,2018-02-15,3.5,7
Memoirs of a Geisha,2005,Rob Marshall,2018-02-03,3.5,7
Arrival,2016,Denis Villeneuve,2018-02-02,3.0,6
Willow,1988,Ron Howard,2018-02-02,3.5,7
Equilibrium,2002,Kurt Wimmer,2018-01-27,3.0,6
"Three Billboards Outside Ebbing, Missouri",2017,Martin McDonagh,2018-01-26,4.0,8
Samba,2014,"Olivier Nakache, Eric Toledano",2018-01-20,3.5,7
Sky Ladder: The Art of Cai Guo-Qiang,2016,Kevin Macdonald,2018-01-13,3.5,7
Poltergeist,1982,Tobe Hooper,2018-01-13,3.5,7
The Disaster Artist,2017,James Franco,2018-01-06,3.5,7
Raw,2016,Julia Ducournau,2018-01-05,3.0,6
The Room,2003,Tommy Wiseau,2018-01-04,1.5,3
The Black Panthers: Vanguard of the Revolution,2015,Stanley Nelson,2017-12-25,3.5,7
Star Wars: The Last Jedi,2017,Rian Johnson,2017-12-23,3.5,7
Zoolander No. 2,2016,Ben Stiller,2017-12-22,3.0,6
A Fish Called Wanda,1988,Charles Crichton,2017-12-20,3.5,7
The Deer Hunter,1978,Michael Cimino,2017-12-20,3.0,6
The Man From U.N.C.L.E.,2015,Guy Ritchie,2017-12-19,4.0,8
Turbo,2013,David Soren,2017-12-19,3.5,7
Room 237,2012,Rodney Ascher,2017-12-15,4.0,8
8 Mile,2002,Curtis Hanson,2017-12-06,3.5,7
Coco,2017,"Lee Unkrich, Adrián Molina",2017-12-05,4.0,8
Suicide Squad,2016,David Ayer,2017-12-02,3.0,6
The Great Escape,1963,John Sturges,2017-12-01,4.0,8
Wonder Woman,2017,Patty Jenkins,2017-11-25,3.0,6
Empire of the Sun,1987,Steven Spielberg,2017-11-18,3.5,7
Gravity,2013,Alfonso Cuarón,2017-10-21,2.0,4
Big Trouble in Little China,1986,John Carpenter,2017-10-14,3.5,7
Miss Peregrine's Home for Peculiar Children,2016,Tim Burton,2017-10-11,4.0,8
It,2017,Andy Muschietti,2017-10-09,3.5,7
Fantastic Beasts and Where to Find Them,2016,David Yates,2017-10-07,4.0,8
Warcraft,2016,Duncan Jones,2017-10-06,3.5,7
Blade Runner 2049,2017,Denis Villeneuve,2017-10-06,4.0,8
Rango,2011,Gore Verbinski,2017-09-30,3.0,6
Finding Dory,2016,"Andrew Stanton, Angus MacLane",2017-09-29,3.5,7
Kubo and the Two Strings,2016,Travis Knight,2017-09-28,4.0,8
Trolls,2016,Mike Mitchell,2017-09-24,3.5,7
Sing,2016,"Garth Jennings, Christophe Lourdelet",2017-09-23,4.0,8
Gattaca,1997,Andrew Niccol,2017-09-09,3.5,7
Death Note,2017,Adam Wingard,2017-09-08,2.0,4
Heat,1995,Michael Mann,2017-09-02,3.5,7
A History of Violence,2005,David Cronenberg,2017-09-01,3.5,7
Unbreakable,2000,M. Night Shyamalan,2017-08-26,3.5,7
Grimsby (The Brothers Grimsby),2016,Louis Leterrier,2017-08-25,3.5,7
Gold,2016,Stephen Gaghan,2017-08-23,3.5,7
Life,2017,Daniel Espinosa,2017-08-21,3.0,6
The Bar,2017,Álex de la Iglesia,2017-08-20,3.5,7
Alien: Covenant,2017,Ridley Scott,2017-08-19,3.5,7
Split,2016,M. Night Shyamalan,2017-08-04,3.5,7
Donnie Darko,2001,Richard Kelly,2017-07-15,3.5,7
Despicable Me 3,2017,"Kyle Balda, Pierre Coffin",2017-07-09,3.5,7
A Cure for Wellness,2017,Gore Verbinski,2017-07-01,4.0,8
Moana,2016,"John Musker, Ron Clements",2017-06-24,3.5,7
Black Snake Moan,2006,Craig Brewer,2017-06-23,3.0,6
Footloose,1984,Herbert Ross,2017-06-17,4.0,8
Guardians of the Galaxy Vol. 2,2017,James Gunn,2017-05-27,4.0,8
Deathgasm,2015,Jason Lei Howden,2017-05-06,3.5,7
The Bone Collector,1999,Phillip Noyce,2017-04-08,4.0,8
Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,2017-04-08,4.0,8
The Dark Knight Rises,2012,Christopher Nolan,2017-04-01,4.0,8
Ghost in the Shell,2017,Rupert Sanders,2017-03-30,3.0,6
Mystic River,2003,Clint Eastwood,2017-03-25,4.0,8
Batman Begins,2005,Christopher Nolan,2017-03-24,4.0,8
Ex Machina,2015,Alex Garland,2017-03-18,4.0,8
Ghost in the Shell 2: Innocence,2004,Mamoru Oshii,2017-03-10,4.0,8
Eraserhead,1977,David Lynch,2017-03-10,3.0,6
American History X,1998,Tony Kaye,2017-03-04,4.5,9
Perfume: The Story of a Murderer,2006,Tom Tykwer,2017-02-25,4.0,8
He Never Died,2015,Jason Krawczyk,2017-02-11,2.0,4
Repo Man,1984,Alex Cox,2017-02-10,2.5,5
The Man Who Knew Too Much,1956,Alfred Hitchcock,2017-02-04,3.5,7
La La Land,2016,Damien Chazelle,2017-02-04,3.0,6
The Neon Demon,2016,Nicolas Winding Refn,2017-02-03,4.0,8
Lost River,2014,Ryan Gosling,2017-01-21,3.0,6
Invictus,2009,Clint Eastwood,2017-01-14,4.0,8
Johnny Got His Gun,1971,Dalton Trumbo,2017-01-07,3.5,7
The Shining,1980,Stanley Kubrick,2017-01-05,4.0,8
Close Encounters of the Third Kind,1977,Steven Spielberg,2016-12-31,3.5,7
The Accountant,2016,Gavin O'Connor,2016-12-28,3.5,7
Millennium Actress,2001,Satoshi Kon,2016-12-28,3.5,7
Atlantis: The Lost Empire,2001,"Gary Trousdale, Kirk Wise",2016-12-27,3.5,7
Dr. Seuss’ The Lorax,2012,"Chris Renaud, Kyle Balda",2016-12-27,3.5,7
The Girl with the Dragon Tattoo,2011,David Fincher,2016-12-27,3.0,6
The Imitation Game,2014,Morten Tyldum,2016-12-26,3.5,7
Rogue One: A Star Wars Story,2016,Gareth Edwards,2016-12-25,4.0,8
Top Secret!,1984,"Jim Abrahams, David Zucker",2016-12-25,3.5,7
Duck Soup,1933,Leo McCarey,2016-12-24,4.0,8
John Wick,2014,"Chad Stahelski, David Leitch",2016-12-23,3.5,7
Money Monster,2016,Jodie Foster,2016-12-10,3.5,7
Daft Punk Unchained,2015,Hervé Martin-Delpierre,2016-12-03,4.0,8
Repo Men,2010,Miguel Sapochnik,2016-12-02,3.5,7
The Lords of Salem,2012,Rob Zombie,2016-11-26,3.5,7
Rise of the Guardians,2012,Peter Ramsey,2016-11-19,3.5,7
Horton Hears a Who!,2008,"Jimmy Hayward, Steve Martino",2016-11-19,3.5,7
Coraline,2009,Henry Selick,2016-11-18,3.5,7
Megamind,2010,Tom McGrath,2016-11-12,3.5,7
Ghost in the Shell,1995,Mamoru Oshii,2016-11-11,4.0,8
The Towering Inferno,1974,"John Guillermin, Irwin Allen",2016-11-05,3.5,7
The Elephant Man,1980,David Lynch,2016-11-04,3.5,7
Highlander,1986,Russell Mulcahy,2016-10-28,3.0,6
Doctor Strange,2016,Scott Derrickson,2016-10-28,4.5,9
Turbo Kid,2015,"Anouk Whissell, François Simard",2016-10-22,3.0,6
Yoga Hosers,2016,Kevin Smith,2016-10-18,3.0,6
Mondays in the Sun,2002,Fernando Léon de Aranoa,2016-10-15,3.5,7
Sausage Party,2016,"Conrad Vernon, Greg Tiernan",2016-10-14,3.5,7
Interview With the Vampire,1994,Neil Jordan,2016-10-11,4.0,8
The General,1926,"Buster Keaton, Clyde Bruckman",2016-10-08,4.0,8
Kung Fury,2015,David Sandberg,2016-10-07,3.5,7
Ernest & Celestine,2012,"Benjamin Renner, Stéphane Aubier",2016-10-07,4.0,8
Mulholland Drive,2001,David Lynch,2016-10-01,3.5,7
The Good Dinosaur,2015,Peter Sohn,2016-09-30,3.5,7
Looper,2012,Rian Johnson,2016-09-30,3.0,6
12 Years a Slave,2013,Steve McQueen,2016-09-24,3.5,7
Tusk,2014,Kevin Smith,2016-09-09,4.0,8
The Grapes of Wrath,1940,John Ford,2016-08-26,3.5,7
American Pop,1981,Ralph Bakshi,2016-08-19,3.0,6
The Boy and the Beast,2015,Mamoru Hosoda,2016-08-06,4.0,8
The Secret Life of Pets,2016,"Chris Renaud, Yarrow Cheney",2016-08-05,3.5,7
The Road to El Dorado,2000,"Bibo Bergeron, Don Paul",2016-07-30,4.0,8
High-Rise,2015,Ben Wheatley,2016-07-29,3.5,7
